ID;Annots;hsa_miR_21;hsa_miR_99a;hsa_miR_320_RNASEN;hsa_miR_144;hsa_miR_22;hsa_miR_143;hsa_miR_141;hsa_miR_148a;hsa_miR_23a;hsa_miR_29a;hsa_miR_26a_2;hsa_miR_27a;hsa_miR_24_1;hsa_miR_451_DICER1;hsa_miR_145;hsa_miR_191;hsa_miR_103_2;hsa_miR_30a;hsa_miR_142_3p;hsa_miR_200c;hsa_miR_126;hsa_miR_199a_2_3p;hsa_miR_142_5p;hsa_miR_106b;hsa_miR_19b_2;hsa_miR_125b_1;hsa_miR_205;hsa_miR_101_2;hsa_miR_199a_2_5p;hsa_miR_221;hsa_miR_424;hsa_miR_25;hsa_miR_181a_1;hsa_miR_425;hsa_miR_375;hsa_miR_378;hsa_miR_130a;hsa_miR_10b;hsa_miR_423_3p;hsa_miR_146a;hsa_miR_182;hsa_miR_151_3p;hsa_miR_140_3p;hsa_miR_193a_3p;hsa_miR_203;hsa_miR_150;hsa_miR_374a;hsa_miR_423_5p;hsa_miR_224;hsa_miR_184;hsa_miR_223;hsa_miR_18a;hsa_miR_376c;hsa_miR_193a_5p;hsa_miR_452;hsa_miR_135b;hsa_miR_9_3
25;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;1;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;1;1;1;0;0;1;0;0;1;1;1;1;0;1;0;1;1;1;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;1;1;1;1;0;1;0;0;1;1;0;1;1;1;0;1;0;1;1;1;0;1;1;0;1;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;1;1;0;0;1;1;1;1;1;1;1;1;0;1;1;0;0;1;1;0;1;0;1;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
40;1;1;0;0;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;1;1;0;0;0;1;1;1;1;0;1;1;1;1;0;0;1;1;1;0;1;0;0;0;1;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
48;1;1;1;0;0;1;1;1;1;1;1;1;0;0;0;1;0;1;1;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;1;1;1;0;0;1;1;1;0;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;1;1;1;1;0;1;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
53;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;0;1;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;1;1;1;0;0;1;0;0;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;1;1;1;0;0;1;1;1;1;1;1;1;0;1;0;0;1;1;1;0;1;1;1;1;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;1;1;1;0;0;1;1;1;1;0;1;1;0;1;0;0;0;1;1;0;1;1;1;0;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;1;1;0;0;0;1;0;0;0;1;1;1;0;0;0;0;1;1;0;1;0;0;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
80;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
83;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
88;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;1;1;1;1;0;1;1;0;1;1;1;1;0;1;0;1;1;1;1;0;0;0;1;0;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
92;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;1;0;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;1;1;1;0;0;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;1;1;1;0;0;1;1;1;0;1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;1;1;0;0;0;1;0;1;1;1;1;1;1;1;0;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;1;1;1;0;0;1;0;1;1;1;1;1;0;1;0;0;0;1;1;0;1;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;1;1;1;0;0;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;1;1;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0;1;1;0;1;0;0;0;1;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
135;1;1;0;0;0;1;1;1;1;1;1;1;0;1;0;0;0;1;1;0;1;0;1;0;1;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
138;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;0;1;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
139;1;1;1;0;0;1;1;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
142;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
147;1;1;0;0;0;1;1;1;1;1;1;1;0;1;0;0;1;1;1;0;1;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;0;0;0;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
149;1;1;0;0;0;1;0;1;1;1;1;1;0;1;0;0;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
155;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
162;1;1;1;0;0;0;1;1;1;1;0;1;1;1;1;0;0;1;1;0;1;0;0;0;1;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
166;1;1;1;0;0;0;1;1;1;1;1;1;1;1;0;1;0;1;1;0;1;0;1;0;1;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
168;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;0;1;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
169;1;1;1;1;0;1;1;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;1;0;0;1;1;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
170;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
172;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
173;1;1;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
